date,price
08/17/2022,25.822
08/16/2022,25.755
08/15/2022,25.66
08/12/2022,25.519
08/11/2022,25.491
08/10/2022,25.513
08/09/2022,25.399
08/08/2022,25.281
08/05/2022,25.298
08/04/2022,25.267
08/03/2022,25.307
08/02/2022,25.245
08/01/2022,25.148
07/29/2022,25.188
07/28/2022,25.143
07/27/2022,25.097
07/26/2022,25.123
07/25/2022,25.092
07/22/2022,25.006
07/21/2022,24.948
07/20/2022,24.851
07/19/2022,24.793
07/18/2022,24.817
07/15/2022,24.743
07/14/2022,24.586
